"HTS-4","COMMODITIES"
"2836","CARBONATES; PEROXOCARBONATES (PERCARBONATES); COMMERCIAL AMMONIUM CARBONATE CONTAINING AMMONIUM CARBAMATE"
"7502","NICKLE, UNWROUGHT"
"7407","COPPER BARS, RODS AND PROFILES"
"5901","TEXTILE FABRICS COATED, FOR THE OUTER COVERS OF BOOKS ETC.; TRACING CLOTH; PREPARED PAINTING CANVAS; BUCKRAM AND SIMILAR FABRICS FOR HAT FOUNDATIONS"
"5212","WOVEN FABRICS OF COTTON (CONTAINING LESS THAN 85% COTTON BY WEIGHT, MIXED MAINLY OR SOLELY WITH OTHER THAN MANMADE FIBERS) NESOI"
"2805","ALKALI OR ALKALINE-EARTH METALS; RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY"
"5504","ARTIFICIAL STAPLE FIBERS, NOT CARDED, COMBED OR OTHERWISE PROCESSED FOR SPINNING"
"4411","FIBERBOARD OF WOOD OR OTHER LIGNEOUS MATERIALS"
"7325","CAST ARTICLES NESOI, OF IRON OR STEEL"
"2504","NATURAL GRAPHITE"
"7314","CLOTH (INCLUDING ENDLESS BANDS), GRILL, NETTING AND FENCING, OF IRON OR STEEL WIRE; EXPANDED METAL OF IRON OR STEEL"
"2001","VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID"
"2920","ESTERS OF INORGANIC ACIDS OF NON-METALS (EXCLUDING ESTERS OF HYDROGEN HALIDES) NESOI AND THEIR SALTS; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DE"
"0501","HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR"
"8529","PARTS FOR TELEVISION, RADIO AND RADAR APPARATUS (OF HEADINGS 8525 TO 8528)"
"7016","GLASS PAVING BLOCKS ETC. FOR BUILDING PURPOSES; GLASS CUBES ETC. FOR DECORATIVE PURPOSES; LEADED GLASS ARTICLES; FOAM GLASS IN BLOCKS, PANELS, ETC."
"1104","CEREAL GRAINS, OTHERWISE WORKED (HULLED, ROLLED ETC.), EXCEPT RICE (HEADING 1006); GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND"
"2830","SULFIDES; POLYSULFIDES"
"2923","QUATERNARY AMMONIUM SALTS AND HYDROXIDES; LECITHINS AND OTHER PHOSPHOAMINOLIPIDS"
"5513","WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBERS, MIXED MAINLY WITH COTTON, WEIGHING NOT OVER 170 G/M2"
"7408","COPPER WIRE"
"6811","ARTICLES OF ASBESTOS-CEMENT, OF CELLULOSE FIBER-CEMENT OR THE LIKE"
"4005","COMPOUNDED RUBBER, UNVULCANIZED, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP"
"4707","WASTE AND SCRAP OF PAPER OR PAPERBOARD"
"8535","ELECTRICAL APPARATUS FOR SWITCHING OR PROTECTING ELECTRICAL CIRCUITS, OR FOR MAKING CONNECTIONS TO OR IN ELECTRICAL CIRCUITS, VOLTAGE OVER 1,000 V"
"2913","HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF ALDEHYDE-FUNCTION COMPOUNDS"
"1101","WHEAT OR MESLIN FLOUR"
"2402","CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES"
"7308","STRUCTURES (EXCLUDING PREFAB BUILDINGS OF HEADING 9406) AND PARTS THEREOF (BRIDGES, TOWERS ETC.), INCLUDING PREPARED SHAPES ETC., OF IRON OR STEEL"
"3403","LUBRICATING PREPARATIONS; ANTIRUST ETC. PREPARATIONS BASED ON LUBRICANTS; PREPARATIONS FOR THE OIL OR GREASE TREATMENT OF TEXTILES, LEATHER, FURS ETC."
"2919","PHOSPHORIC ESTERS AND THEIR SALTS, INCLUDING LACTOPHOSPHATES; THEIR HALOGENATED, SULFONATED, NITRATED, OR NITROSATED DERIVATIVES"
"5514","WOVEN FABRICS OF SYNTHETIC STAPLE FIBERS, CONTAINING LESS THAN 85% BY WEIGHT OF SUCH FIBERS, MIXED MAINLY WITH COTTON, WEIGHING OVER 170 G/M2"
"0208","MEAT AND EDIBLE MEAT OFFAL NESOI, FRESH, CHILLED OR FROZEN"
"1211","PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), USED IN PERFUMERY, PHARMACY, OR FOR INSECTICIDAL OR SIMILAR PURPOSES, FRESH OR DRIED"
"8465","MACHINE TOOLS FOR WORKING WOOD, CORK, BONE, HARD RUBBER, HARD PLASTICS OR SIMILAR HARD MATERIALS (INCLUDING MACHINES FOR NAILING, STAPLING ETC.)"
"3303","PERFUMES AND TOILET WATERS"
"2846","RARE-EARTH METAL COMPOUNDS, INORGANIC OR ORGANIC, OF YTTRIUM OR SCANDIUM OR OF MIXTURES OF THESE METALS"
"2520","GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCINED SULFATE)"
"4503","ARTICLES OF NATURAL CORK"
"4502","NATURAL CORK, DEBACKED OR ROUGHLY SQUARED, OR RECTANGULAR (OR SQUARE) BLOCKS, PLATES, SHEETS OR STRIP, AND SHARP-EDGED BLANKS FOR CORKS OR STOPPERS"
"8504","ELECTRICAL TRANSFORMERS, STATIC CONVERTERS OR INDUCTORS; POWER SUPPLIES FOR ADP MACHINES OR UNITS; PARTS THEREOF"
"5509","YARN (OTHER THAN SEWING THREAD) OF SYNTHETIC STAPLE FIBERS, NOT PUT UP FOR RETAIL SALE"
"4405","WOOD WOOL (EXCELSIOR); WOOD FLOUR"
"9023","INSTRUMENTS, APPARATUS AND MODELS, DESIGNED FOR DEMONSTRATIONAL PURPOSES, UNSUITABLE FOR OTHER USES, AND PARTS AND ACCESSORIES THEREOF"
"4501","NATURAL CORK, RAW OR SIMPLY PREPARED; WASTE CORK; CRUSHED, GRANULATED OR GROUND CORK"
"1103","CEREAL GROATS, MEAL AND PELLETS"
"5906","RUBBERIZED TEXTILE FABRICS, OTHER THAN TIRE CORD FABRIC"
"8427","FORK-LIFT TRUCKS; OTHER WORKS TRUCKS FITTED WITH LIFTING OR HANDLING EQUIPMENT"
"2620","ASH AND RESIDUES (EXCEPT FROM IRON OR STEEL MANUFACTURE) CONTAINING ARSENIC, METALS OR THEIR COMPOUNDS"
"8804","PARACHUTES (INCLUDING DIRIGIBLE PARACHUTES) AND ROTOCHUTES; PARTS AND ACCESSORIES THERETO"
"2516","GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER BUILDING ETC. STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT BY SAWING ETC."
"2931","ORGANO-INORGANIC COMPOUNDS, NESOI"
"2507","KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED"
"9107","TIME SWITCHES WITH CLOCK OR WATCH MOVEMENT OR WITH SYNCHRONOUS MOTOR"
"5803","GAUZE NESOI (OTHER THAN NARROW FABRICS NOT OVER 30 CM OR 11.811 IN. IN WIDTH)"
"7903","ZINC DUST, POWDERS AND FLAKES"
"7008","MULTIPLE-WALLED INSULATING UNITS OF GLASS"
"7901","ZINC, UNWROUGHT"
"7107","BASE METALS CLAD WITH SILVER, NOT FURTHER WORKED THAN SEMIMANUFACTRED"
"4106","TANNED OR CRUST HIDES OF OTHER ANIMALS, WITHOUT HAIR ON, WHETHER OR NOT SPLIT, BUT NOT FURTHER PREPARED, NESOI"
"4810","PAPER AND PAPERBOARD, COATED ON ONE OR BOTH SIDES WITH KAOLIN (CHINA CLAY) OR OTHER INORGANIC SUBSTANCES (WITH NO OTHER COATING), IN ROLLS OR SHEETS"
"9401","SEATS (OTHER THAN BARBER, DENTAL AND SIMILAR CHAIRS), WHETHER OR NOT CONVERTIBLE INTO BEDS, AND PARTS THEREOF"
"3206","COLORING MATTER NESOI; COLORING PREPARATIONS NESOI; INORGANIC PRODUCTS USED AS LUMINOPHORES"
"2618","GRANULATED SLAG (SLAG SAND) FROM IRON OR STEEL MANUFACTURE"
"7105","DUST AND POWDER OF NATURAL OR SYNTHETIC PRECIOUS OR SEMIPRECIOUS STONES"
"4013","INNER TUBES FOR TIRES, OF RUBBER"
"6809","ARTICLES OF PLASTER OR OF COMPOSITIONS BASED ON PLASTER"
"5208","WOVEN FABRICS OF COTTON, CONTAINING 85% OR MORE COTTON BY WEIGHT, WEIGHING NOT MORE THAN 200 G/M2"
"3922","BATHS, SHOWER BATHS, SINKS, WASHBASINS, BIDETS, LAVATORY PANS, SEATS AND COVERS, FLUSHING CISTERNS AND SIMILAR SANITARY WARE, OF PLASTICS"
"9013","LIQUID CRYSTAL DEVICES NESOI; LASERS, OTHER THAN LASER DIODES; OPTICAL APPLIANCES AND INSTRUMENTS NESOI; PARTS AND ACCESSORIES THEREOF"
"7615","TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINUM; POT SCOURERS ETC. OF ALUMINUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINUM"
"3202","SYNTHETIC ORGANIC TANNING SUBSTANCES; INORGANIC TANNING SUBSTANCES; TANNING PREPARATIONS; ENZYMATIC PREPARATIONS FOR PRE-TANNING"
"7614","STRANDED WIRE, CABLES, PLAITED BANDS AND THE LIKE, INCLUDING SLINGS AND SIMILAR ARTICLES OF ALUMINUM, NOT ELECTRICALLY INSULATED"
"9706","ANTIQUES OF AN AGE EXCEEDING ONE HUNDRED YEARS"
"2604","NICKEL ORES AND CONCENTRATES"
"8507","ELECTRIC STORAGE BATTERIES, INCLUDING SEPARATORS THEREFOR; PARTS THEREOF"
"5001","SILKWORM COCOONS SUITABLE FOR REELING"
"0713","LEGUMINOUS VEGETABLES, DRIED SHELLED"
"2303","RESIDUES OF STARCH MANUFACTURE AND OTHER RESIDUES AND WASTE OF SUGAR MANUFACTURE, BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR NOT IN PELLETS"
"2907","PHENOLS; PHENOL-ALCOHOLS"
"4201","SADDLERY AND HARNESS FOR ANY ANIMAL (INCLUDING TRACES, LEADS, KNEE PADS, MUZZLES, SADDLE CLOTHS, SADDLE BAGS, DOG COATS AND THE LIKE), OF ANY MATERIAL"
"2606","ALUMINUM ORES AND CONCENTRATES"
"3307","PERSONAL PERFUMERY, COSMETIC OR TOILET PREPARATIONS NESOI, INCLUDING SHAVING AND BATH PREPARATIONS AND DEODORANTS ETC.; PREPARED ROOM DEODORIZERS"
"8538","PARTS FOR ELECTRICAL APPARATUS FOR SWITCHING ETC. ELECTRIC CIRCUITS (OF HEADING 8535 OR 8536) AND PANELS, BOARDS, CONSOLES ETC. (OF HEADING 8537)"
"2940","SUGARS, CHEMICALLY PURE, OTHER THAN SUCROSE, LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE; SUGAR ETHERS AND SUGAR ESTERS, AND THEIR SALTS, NESOI"
"1006","RICE"
"1504","FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED"
"6005","WARP KNIT FABRICS (INCLUDING THOSE MADE ON GALLOON KNIT. MACHINES), OTHER THAN THOSE OF HEADING 6001 TO 6004"
"8527","RECEPTION APPARATUS FOR RADIOTELEPHONY, RADIOTELEGRAPHY OR RADIOBROADCASTING, WHETHER OR NOT COMBINED WITH SOUND RECORDING OR REPRODUCING APPARATUS"
"5306","FLAX YARN"
