Code,Product
0302.52.00,"Haddock, fresh or chilled, excluding fillets, other meat portions, livers and roes"
0302.53.00,"Coalfish, fresh or chilled, excluding fillets, other meat portions, livers and roes"
0302.54.11,"Hake, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.54.50,"Hake,excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.55.11,"Alaska pollack, excl. fillets, livers,roes, fresh or chilled, scaled, in immediate containers"
0302.55.50,"Alaska pollack excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in"
0302.56.11,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, scaled, in immediate containers"
0302.56.50,"Blue whitings, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in"
0302.59.11,"Bregmacerotidae et al fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in"
0302.59.50,"Bregmacerotidae fish, etc. excl. fillets, livers & roes, fresh or chilled, not scaled, or"
0302.71.11,"Tilapias, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.71.50,"Tilapias, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.72.11,"Catfish, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.72.50,"Catfish excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.73.11,"Carp, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.73.50,"Carp excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.74.00,"Eels, fresh or chilled, excluding fillets, other meat portions, livers and roes"
0302.79.11,"Fish beginning 0302.7, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in"
0302.79.50,"Fish beginning 0302.7, nesoi, excl. fillets, livers & roes, fresh or chilled,not scaled,or"
0302.81.00,"Dogfish and other sharks, fresh or chilled, excluding fillets, livers, roes and fish meat of"
0302.82.00,"Rays & skates, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in"
0302.83.00,"Toothfish excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.84.11,"Seabass, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.84.50,"Seabass, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.85.11,"Seabream, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.85.50,"Seabream, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.89.11,"Fish, nesoi, excl. fillets, livers and roes, fresh or chilled, scaled, in immediate containers"
0302.89.50,"Fish, nesoi, excl. fillets, livers & roes, fresh or chilled, not scaled, or scaled in immediate"
0302.91.20,"Sturgeon Roe, fresh or chilled"
0302.91.40,"Mullet and other fish liver and roes, fresh or chilled"
0302.92.00,"Shark fins, fresh or chilled, excluding fillet"
0302.99.00,"Other fish, fresh or chilled, nesoi"
0303.11.00,"Sockeye salmon (red salmon) (Orncorhynchus nerka), frozen, excluding fillets, other"
0303.12.00,"Pacific salmon, other than sockeye, frozen, excluding fillets, other meat portions, livers"
0303.13.00,"Atlantic salmon and Danube salmon, frozen, excluding livers and roes"
0303.14.00,"Trout, frozen, excluding fillets, other meat portions, livers and roes"
0303.19.01,"Salmonidae, other than trout or Atlantic and Danube salmon, nesoi, frozen, excluding"
0303.23.00,"Tilapias, frozen, excluding fillets, other meat portions, livers and roes"
0303.24.00,"Catfish, frozen, excluding fillets, other meat portions, livers and roes"
0303.25.01,"Carp, frozen excluding fillets, livers and roes"
0303.26.00,"Eels, frozen, excluding fillets, other meat portions, livers and roes"
0303.29.01,"Other fish in 0303.2 grouping nesoi, frozen, excluding fillets, other meat portions, livers"
0303.31.00,"Halibut and Greenland turbot, frozen, excluding fillets, other meat portions & livers and"
0303.32.00,"Plaice, frozen, excluding fillets, other meat portions, livers and roes"
0303.33.00,"Sole, frozen, excluding fillets, other meat portions, livers and roes"
0303.34.00,"Turbots, frozen, excluding fillets, other meat portions, livers and roes"
0303.39.01,"Flat fish, other than halibut, Greenland turbot, plaice and sole, frozen, excluding fillets,"
0303.41.00,"Albacore or longfinned tunas, frozen, excluding fillets, other meat portions, livers and"
0303.42.00,"Yellowfin tunas, frozen, excluding fillets, other meat portions, livers and roes"
0303.43.00,"Skipjack or stripe-bellied bonito, frozen, excluding fillets, other meat portions, livers and"
0303.44.00,"Bigeye tunas (Thunnas obesus), frozen, excluding fillets, other meat portions, livers and"
0303.45.01,"Atlantic and Pacific bluefin tunas, frozen, excluding fillets, other meat portions, livers"
0303.46.00,"Southern bluefin tunas (Thunnas maccoyii), frozen, excluding fillets, other meat"
0303.49.02,"Tunas, not elsewhere specified or included, frozen, excluding fillets, other meat"
0303.51.00,"Herrings, frozen, excluding fillets, other meat portions, livers and roes"
0303.53.00,"Sardines, sardinella, brisling or sprats, frozen, excluding fillets, other meat portions,"
0303.54.00,"Mackerel, frozen, excluding fillets, livers and roes"
0303.55.00,"Jack & horse mackerel, frozen, excluding fillets, other meat portions, livers and roes"
0303.56.00,"Cobia, frozen, excluding fillets, other meat portions, livers and roes"
0303.57.00,"Swordfish steaks,other swordfish , excluding fillets, other meat portions, livers and roes"
0303.59.00,"Other fish, frozen, excluding fillets, livers, roes and herrings"
0303.63.00,"Cod, frozen, excluding fillets, other meat portions, livers and roes"
0303.64.00,"Haddock, frozen, excluding fillets, other meat portions, livers and roes"
0303.65.00,"Coalfish, frozen, excluding fillets, other meat portions, livers and roes"
0303.66.00,"Hake, frozen, excluding fillets, other meat portions, livers and roes"
0303.67.00,"Alaska pollack, frozen, excluding fillets, other meat portions, livers and roes"
0303.68.00,"Blue whitings, frozen, excluding fillets, other meat portions, livers and roes"
0303.69.00,"Other fish in Bregmacerotidae et al,etc. frozen, excluding fillets, other meat portions,"
0303.81.00,"Dogfish and other sharks, frozen, excluding fillets, livers, roes and fish meat of 0304"
0303.82.00,"Rays & skates, frozen, excluding fillets, other meat portions, livers and roes"
0303.83.00,"Toothfish excluding fillets, other meat portions, livers and roes"
0303.84.00,"Sea bass, frozen, excluding fillets, other meat portions, livers and roes"
0303.89.00,"Smelts, cusk, pollock, shad, sturgeon, atkafish, fresh-water fish,etc. frozen, excluding"
0303.91.20,"Sturgeon roe, frozen"
0303.91.40,"Herring, salmon, alaskan pollock, mullet, other fist liver and roes, frozen"
0303.92.00,"Shark fins excluding fillets, frozen"
0303.99.00,"Other fish, frozen, nesoi"
0304.31.00,"Tilapias, fillets, fresh or chilled"
0304.32.00,"Catfish, fillets, fresh or chilled"
0304.33.00,"Nile perch, fillets, fresh or chilled"
0304.39.00,"Eels or snakeheads, fillets, fresh or chilled"
0304.41.00,"Salmon fillets, fresh or chilled"
0304.42.00,"Trout, fillets, fresh or chilled"
0304.43.00,"""Flat fish"" , sole, plaice, etc. fillets, fresh or chilled"
0304.44.00,"Bregamacerotidae & like fish, fillets, fresh or chilled"
0304.45.00,Fresh or chilled swordfish fillets
0304.46.00,Fresh or chilled toothfish fillets
0304.47.00,"Dogfish and other shark fillets, frozen or chilled"
0304.48.00,"Ray and skate fillets, fresh or chilled"
0304.49.01,"Pike, pickerel, whitefish, tilapia, perch, cusk, other fish fillets, fresh or chilled"
0304.51.01,"Tilapias, catfish, carp, eels, nile perch, snakeheads, other than fillets, fresh or chilled"
0304.52.00,"Salmonidae, other than fillets, fresh or chilled"
0304.53.00,"Bregmacerotidae and other fish, nesoi, other than fillets, fresh or chilled"
0304.54.00,Fresh or chilled swordfish other than fillets
0304.55.00,Fresh or chilled toothfish other than fillets
0304.56.00,"Dogfish and other sharks, fresh or chilled"
0304.57.00,"Rays and skates, fresh or chilled"
0304.59.00,"Other fish, nesoi, other than fillets, fresh or chilled"
0304.61.00,Frozen tilapia fillets
0304.62.00,Frozen catfish fillets
0304.63.00,Frozen Nile perch fillets
0304.69.00,Frozen eel & snakehead fillets
0304.71.10,"Frozen cod fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut"
0304.71.50,"Fillets, frozen, of cod, other than above"
0304.72.10,"Frozen haddock fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or"
0304.72.50,"Fillets, frozen, of haddock, other than above"
0304.73.10,"Frozen coalfish fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or"
0304.73.50,Other coalfish fillets
0304.74.10,"Frozen hake fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut"
0304.74.50,"Fillets, frozen, of hake"
0304.75.10,"Frozen Alaska pollack fillets, skinned, in blocks weighing over 4.5 kg, to be minced,"
0304.75.50,"Fillets, frozen, of Alaska pollock, other than above"
0304.79.10,"Frozen Bregmacerotidae et al fish fillets,nesoi, skinned, in blocks weighing over 4.5 kg,"
0304.79.50,"Frozen fillets of other fresh-water fish, flat fish, etc., nesoi, other than above"
0304.81.10,"Frozen salmon fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or"
0304.81.50,Other frozen salmon fillets
0304.82.10,"Frozen trout fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or cut"
0304.82.50,"Frozen trout fillets, other than above"
0304.83.10,"Frozen ""flat fish"" fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or"
0304.83.50,"Frozen ""other flat fish"" fillets, other than above"
0304.84.00,Frozen swordfish fillets
0304.85.00,Frozen toothfish fillets
0304.86.00,Frozen herring fillets
0304.87.00,Frozen tuna fillets
0304.88.00,"Dogfish, other shark, ray and skate fillets, frozen"
0304.89.10,"Other frozen fish fillets, skinned, in blocks weighing over 4.5 kg, to be minced, ground or"
0304.89.50,"Other frozen fish fillets, other than above"
0304.91.10,"Chilled or Frozen Swordfish fillets, in bulk or in immediate containers weighing with"
0304.91.90,"Chilled or Frozen Swordfish Fillets,nesoi"
0304.92.10,"Chilled or Frozen Toothfish fillets, in bulk or in immediate containers weighing with their"
0304.92.90,"Chilled or Frozen Toothfish Fillets,nesoi"
0304.93.10,"Chilled or Frozen tilapia & like fillets,nesoi, in bulk or in immediate containers weighing"
0304.93.90,"Tilapias , catfish, carp, eels, nile perch & snakehead chilled or frozen fillets,nesoi"
0304.94.10,"Alaska pollack chilled or frozen fillets,in bulk or in immediate containers weighing with"
0304.94.90,"Alaska pollack, chilled or frozen fillets,nesoi"
0304.95.10,"Chilled or Frozen fillets,Bregmacerotidae & like, nesoi, in bulk or in immediate"
0304.95.90,"Bregamacerotidae other fish, other than Alaska pollack, nesoi, chilled or frozen"
0304.96.00,"Dogfish and other sharks, frozen, nesoi"
0304.97.00,"Ray and skates, frozen, nesoi"
0304.99.11,"Chilled or Frozen fillets,nesoi, in bulk or in immediate containers weighing with their"
0304.99.91,"Chilled or Frozen fillets,nesoi"
0305.10.20,"Flours, meals and pellets of fish, fit for human consumption, in bulk or in immediate"
0305.10.40,"Flours, meals and pellets of fish, fit for human consumption, other than in bulk or"
0305.20.20,"Sturgeon roe, dried, smoked, salted or in brine"
0305.20.40,"Fish livers and roes, other than sturgeon roe, dried, smoked, salted or in brine"
0305.31.01,"Tilapia, catfish, carp, eel, nile perch, snakehead fillets, dried or salted in brine, but not"
0305.32.00,"""Flat fish"" fillets, nesoi, dried, salted or in brine, but not smoked"
0305.39.20,"Fillets of herrings, dried, salted or in brine, but not smoked, in immediate containers"
0305.39.40,"Fillets of mackerel, dried, salted or in brine, but not smoked, in immediate containers"
0305.39.61,"Herring and other fist fillets, dried, salted or in brine, but not smoked"
0305.41.00,"Smoked Pacific, Atlantic and Danube salmon, including fillets"
0305.42.00,"Smoked herrings, including fillets"
0305.43.00,"Smoked trout, including fillets"
0305.44.01,"Tilapia, catfish, carp, eel, nile perch, snakehead including fillets, smoked"
0305.49.20,"Smoked mackerel, including fillets"
0305.49.40,"Smoked fish, including fillets, nesoi"
0305.51.00,"Dried cod, whether or not salted but not smoked"
0305.52.00,"Tilapia, catfish, carp, eel, nile perch, snakehead, not smoked, dried, whether or not"
0305.53.00,"Fish of families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae,Melanonidae,"
0305.54.00,"Herrings, anchovies, sardines, sardinella, brisling or sprat, mackerel, Indian mackeral,"
0305.59.00,"Dried fish, other than cod or shark fins, whether or not salted but not smoked"
0305.61.20,"Herrings, in brine or salted but not dried or smoked, in immediate containers weighing"
0305.61.40,"Herrings, in brine or salted but not dried or smoked, other than in immediate containers"
0305.62.00,"Cod, in brine or salted but not dried or smoked"
0305.63.20,"Anchovies, in brine or salted but not dried or smoked, in immediate airtight containers"
0305.63.40,"Anchovies, in brine or salted but not dried or smoked, in immediate containers, nesoi,"
0305.63.60,"Anchovies, in brine or salted but not dried or smoked, other than in immediate"
0305.64.10,"Tilapias, catfish, carp, eel, Nile perch, or snakehead, in brine or salted but not dried or"
0305.64.50,"Tilapias, catfish, carp, eel, Nile perch, or snakehead, in brine or salted but not dried or"
0305.69.10,"Cusk, haddock, hake, and pollock, in brine or salted but not dried or smoked"
0305.69.20,"Mackerel, in brine or salted but not dried or smoked, in immediate containers weighing"
0305.69.30,"Mackerel, in brine or salted but not dried or smoked, other than in immediate"
0305.69.40,"Salmon, in brine or salted but not dried or smoked"
0305.69.50,"Fish, nesoi, in brine or salted but not dried or smoked, in immediate containers"
0305.69.60,"Fish, nesoi, in brine or salted but not dried or smoked, other than in immediate"
0305.71.00,"Dried shark fins, whether or not salted but not smoked"
0305.72.00,"Fish heads, tails, and maws, whether or not salted but not smoked"
0305.79.00,"Edible fish offal, other fish heads tails and maws or shark fins, whether or not salted but"
0306.11.00,"Rock lobster and other sea crawfish, cooked in shell or uncooked, dried, salted or in"
0306.12.00,"Lobsters excluding rock lobster, cooked in shell or uncooked, dried, salted or in brine,"
0306.14.20,"Crabmeat, frozen"
0306.14.40,"Crabs, cooked in shell or uncooked (whether in shell or not), dried, salted or in brine,"
0306.15.00,"Norway lobsters, cooked in shell or uncooked, dried, salted or in brine, frozen"
0306.16.00,"Cold-water shrimps and prawns, cooked in shell or uncooked, dried, salted or in brine,"
0306.17.00,"Other shrimps and prawns, cooked in shell or uncooked, dried, salted or in brine, frozen"
0306.19.00,"Crustateans, nesoi (including flours, meals and pellets of crustaceans fit for human"
0306.31.00,"Live rock lobster and other sea crawfish, frozen or chilled"
0306.32.00,"Live lobsters (Homarus spp.), frozen or chilled, except rock lobster"
0306.33.20,"Crabmeat, fresh or chilled"
0306.33.40,"Live crabs, fresh or chilled, other than crabmeat"
0306.34.00,"Live Norway lobsters, frozen or chilled"
0306.35.00,"Cold water shrimps and prawns, shell-on or peeled, live, frozen, or chilled"
0306.36.00,"Shrimps and prawns, other than cold water shrimp, shell-on or peeled, live, frozen or"
0306.39.00,"Flours, meals and pellets of crustaceans, fress or chilled, fit for human consumption, or"
0306.91.00,Rock lobster and other sea crawfish nesoi
0306.92.00,"Lobsters (Homarus SPP.), except rock lobster nesoi"
0306.93.20,"Crabmeat, nesoi"
0306.93.40,"Crabs, other than crabmeat, nesoi"
0306.94.00,"Norway lobsters (Nephrops Norvegicus), nesoi"
0306.95.00,"Other shrimps and prawns, shell-on or peeled"
0306.99.00,"Flours, meals and pellets of crustaceans, fit for human consumption or crustraceans"
0307.11.00,"Oysters, whether in shell or not, live, fresh, or chilled"
0307.12.00,"Oysters, frozen"
0307.19.01,"Oysters, fresh or chilled"
0307.21.00,"Scallops, including queen scallops, whether in shell or not, live, fresh or chilled"
0307.22.00,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, frozen"
0307.29.01,"Scallops, including queen scallops, of the genera Pecten, Chlamys or Placopecten, dried,"
0307.31.00,"Mussels, whether in shell or not, live, fresh or chilled"
0307.32.00,"Mussels (Mytilus Spp., Perna Spp.), frozen"
0307.39.01,"Mussels (Mytilus Spp., Perna Spp.), dried, salted or in brine"
0307.42.00,"Squid or cuttle fish, live, fresh or chilled"
0307.43.00,"Squid or cuttle fish, frozen"
0307.49.01,"Squid or cuttle fish, dried, salted or in brine"
0307.51.00,"Octopus, live, fresh or chilled"
0307.52.00,"Octopus, frozen"
0307.59.01,"Octopus, dried, salted or in brine"
0307.60.00,"Snails, other than sea snails, whether in shell or not, live, fresh, chilled, frozen, dried,"
0307.71.00,"Clams, cockles and ark shells, whether in shell or not, live, fresh or chilled"
0307.72.00,"Clams, cockles and ark shells, frozen"
0307.79.01,"Clams, cockles and ark shells, dried salted or in brine"
0307.81.00,"Abalone, whether in shell or not, live, fresh or chilled"
0307.82.00,"Live stromboid conch, fresh or chilled"
0307.83.00,"Abalone, including flours, meals and pellets fit for human consumption, frozen"
0307.84.00,"Stromboid conchs (Strombus Spp.), frozen"
0307.87.00,"Abalone, including edible flours, meals and pellets, nesoi"
0307.88.00,"Stromboid conchs, nesoi"
0307.91.02,"Conch and other molluscs nesoi, including flours, meals and pellets, fit for human"
0307.92.00,"Conch and other molluscs nesoi, including flours, meals and pellets, fit for human"
0307.99.02,"Molluscs, including flours, meals and pellets fit for human consumption, nesoi"
0308.11.00,"Sea cucumbers, live, fresh or chilled"
0308.12.00,Frozen sea cucumbers
0308.19.01,"Sea cucumbers, not frozen"
0308.21.00,"Sea urchins, live, fresh or chilled"
0308.22.00,Frozen sea urchins
0308.29.01,"Sea urchins, not frozen"
0308.30.00,"Jellly fish, live, fresh, chilled, frozen, dried, salted smoked, or in brine"
0308.90.00,"Other aquatic invertebrates, oth than molluscs & crustaceans, nesoi, live, fresh or"
0404.10.05,Whey protein concentrates
0404.10.08,"Modified whey (except protein conc.), subject to gen. note 15 of the HTS"
0404.10.11,"Modified whey (except protein conc.), wheth/not conc. or sweetened, subject to add US"
0404.10.15,"Modified whey (except protein conc.), wheth/not conc. or sweetened, not subject to"
0404.10.20,"Fluid whey, whether or not concentrated or containing added sweeteners"
0404.10.48,"Whey (except modified whey), dried, whether or not conc. or sweetened, subject to"
0404.10.50,"Whey (except modified whey), dried, whether or not conc. or sweetened, subject to"
0404.10.90,"Whey (except modified whey), dried, whether or not conc. or sweetened, not subject to"
0405.10.05,Butter subject to general note 15 (outside quota)
0405.10.10,Butter subject to quota pursuant to chapter 4 additional US note 6
0405.10.20,Butter not subject to general note 15 and in excess of quota in chapter 4 additional U.S.
0407.19.00,"Birds' eggs, in shell, fertilized eggs for incubation, other than Gallus domesticus"
0407.21.00,"Birds' eggs, in shell, other fresh, not fertilized eggs for incubation, of species Gallus"
0407.29.00,"Birds' eggs, in shell, other fresh, not fertilized eggs for incubation, other than species"
0407.90.00,"Birds' eggs, in shell, fresh, preserved or cooked"
0408.11.00,"Egg yolks, dried, whether or not containing added sweeteners"
0408.19.00,"Egg yolks, other than dried, whether or not containing added sweeteners"
0408.99.00,"Birds' eggs, not in shell, other than dried, whether or not containing added sweeteners"
0409.00.00,Natural honey
0410.00.00,"Edible products of animal origin, nesoi"
0501.00.00,"Human hair, unworked, whether or not washed and scoured; waste of human hair"
0502.10.00,"Pigs', hogs' or boars' bristles and hair and waste thereof"
0502.90.00,"Badger hair and other brushmaking hair, nesoi, and waste thereof"
0504.00.00,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof"
0505.10.00,"Feathers of a kind used for stuffing, and down"
0505.90.20,Feather meal and waste
0505.90.60,Skins and parts of birds with their feathers or down (except meal and waste) nesoi
0506.10.00,Ossein and bones treated with acid
0506.90.00,"Bones & horn-cores, unworked, defatted, simply prepared (but not cut to shape) or"
0507.90.00,"Tortoise shell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and"
0508.00.00,"Coral, shells, cuttlebone and similar materials, unworked or simply prepared, but not"
0510.00.40,"Cantharides; bile; glands and other animal products nesoi, used in pharmaceutical"
0511.10.00,Bovine semen
0511.91.00,"Products of fish, crustaceans, molluscs or other aquatic invertebrates nesoi; dead"
0511.99.20,Parings and similar waste of raw hides or skins; glue stock nesoi
0511.99.30,"Animal products chiefly used as food for animals or as ingredients in such food, nesoi"
0511.99.33,"Horsehair and horsehair waste, whether or not put up as a layer with or without"
0511.99.36,Natural sponges of animal origin
0511.99.40,"Animal products nesoi; dead animals of chapter 1, unfit for human consumption"
0703.10.20,"Onion sets, fresh or chilled"
0703.10.30,"Pearl onions not over 16 mm in diameter, fresh or chilled"
0703.10.40,"Onions, other than onion sets or pearl onions not over 16 mm in diameter, and shallots,"
0703.20.00,"Garlic, fresh or chilled"
0703.90.00,"Leeks and other alliaceous vegetables nesoi, fresh or chilled"
0704.10.20,"Cauliflower and headed broccoli, fresh or chilled, if entered June 5 to October 15,"
0704.10.40,"Cauliflower and headed broccoli, fresh or chilled, not reduced in size, if entered Oct. 16"
0704.10.60,"Cauliflower and headed broccoli, fresh or chilled, reduced in size, if entered Oct. 16"
0704.90.20,"Cabbage, fresh or chilled"
0704.90.40,"Kohlrabi, kale and similar edible brassicas nesoi, including sprouting broccoli, fresh or"
0706.10.05,"Carrots, fresh or chilled, reduced in size"
0706.10.10,"Carrots, fresh or chilled, not reduced in size, under 10 cm in length"
0706.10.20,"Carrots, fresh or chilled, not reduced in size, 10 cm or over in length"
0706.10.40,"Turnips, fresh or chilled"
0706.90.20,"Radishes, fresh or chilled"
0706.90.30,"Beets and horseradish, fresh or chilled"
0706.90.40,"Salsify, celeriac, radishes and similar edible roots nesoi, fresh or chilled"
0707.00.50,"Cucumbers, including gherkins, fresh or chilled, if entered May 1 to June 30, inclusive, or"
0708.10.20,"Peas, fresh or chilled, shelled or unshelled, if entered July 1 to Sept. 30, inclusive, in any"
0708.10.40,"Peas, fresh or chilled, shelled or unshelled, if entered Nov. 1 through the following June"
0708.20.20,"Cowpeas (other than black-eye peas), fresh or chilled, shelled or unshelled"
0708.20.90,"Beans nesoi, fresh or chilled, shelled or unshelled"
0708.90.15,"Lentils, fresh or chilled, shelled or unshelled"
0708.90.40,"Leguminous vegetables nesoi, fresh or chilled, shelled or unshelled"
0709.40.20,"Celery, other than celeriac, fresh or chilled, reduced in size"
0709.40.40,"Celery, other than celeriac, fresh or chilled, not reduced in size, if entered April 15 to"
0709.40.60,"Celery, other than celeriac, fresh or chilled, not reduced in size, if entered August 1"
0709.51.01,"Mushrooms of the genus Agaricus, fresh or chilled"
0709.59.10,"Truffles, fresh or chilled"
0709.59.90,"Mushrooms, other than of the genus Agaricus, fresh or chilled"
0709.60.20,"Chili peppers, fresh or chilled"
0709.60.40,"Fruits of the genus capsicum (peppers) (ex. chili peppers) or of the genus pimenta (e.g.,"
0709.93.20,"Squash, fresh or chilled"
0709.99.05,"Jicamas and breadfruit, fresh or chilled"
0709.99.10,"Chayote (Sechium edule), fresh or chilled"
0709.99.14,"Okra, fresh or chilled"
0709.99.30,"Fiddlehead greens, fresh or chilled"
0709.99.45,"Sweet corn, fresh or chilled"
0709.99.90,"Vegetables, not elsewhere specified or included, fresh or chilled"
0710.10.00,"Potatoes, uncooked or cooked by steaming or boiling in water, frozen"
0710.21.20,"Peas, uncooked or cooked by steaming or boiling in water, frozen, if entered July 1"
0710.21.40,"Peas, uncooked or cooked by steaming or boiling in water, frozen, if entered Jan. 1"
0710.22.10,"Lima beans, uncooked or cooked by steaming or boiling in water, frozen, not reduced in"
0710.22.15,"Lima beans, frozen, entered June 1 - October 31"
0710.22.20,"Cowpeas (other than black-eye peas), uncooked or cooked by steaming or boiling in"
0710.22.25,"Frozen string beans (snap beans), not reduced in size"
0710.22.37,"Frozen beans nesoi, not reduced in size"
0710.22.40,"Beans nesoi, uncooked or cooked by steaming or boiling in water, frozen, reduced in"
0710.29.05,"Chickpeas (garbanzos), uncooked or cooked by steaming or boiling in water, frozen"
0710.29.25,"Pigeon peas, uncooked or cooked by steaming or boiling in water, frozen, if entered July"
0710.29.30,"Pigeon peas, uncooked or cooked by steaming or boiling in water, frozen, if entered Oct."
0710.29.40,"Leguminous vegetables nesoi, uncooked or cooked by steaming or boiling in water,"
0710.30.00,"Spinach, New Zealand spinach and orache spinach (garden spinach), uncooked or"
0710.40.00,"Sweet corn, uncooked or cooked by steaming or boiling in water, frozen"
0710.80.15,"Bamboo shoots and water chestnuts (other than Chinese water chestnuts), uncooked or"
0710.80.20,"Mushrooms, uncooked or cooked by steaming or boiling in water, frozen"
0710.80.40,"Tomatoes, uncooked or cooked by steaming or boiling in water, frozen, if entered Mar."
0710.80.45,"Tomatoes, uncooked or cooked by steaming or boiling in water, frozen, if entered July"
0710.80.50,"Tomatoes, uncooked or cooked by steaming or boiling in water, frozen, if entered Nov."
0710.80.65,"Brussels sprouts, uncooked or cooked by steaming or boiling in water, frozen, not"
0710.80.70,"Vegetables nesoi, uncooked or cooked by steaming or boiling in water, frozen, not"
0710.80.93,"Okra, reduced in size, frozen"
