district,name,party,state,twitter,url,district_N
U.S. House California District 43,Maxine Waters,Democratic,California,https://www.twitter.com/maxinewaters,https://ballotpedia.org/Maxine_Waters,43
"Candidate, U.S. House California District 49",Mike Levin,Democratic,California,https://www.twitter.com/MikeLevinCA,https://ballotpedia.org/Mike_Levin,49
U.S. House California District 5,Mike Thompson,Democratic,California,https://www.twitter.com/Mike_CA05,https://ballotpedia.org/Mike_Thompson_(California),5
U.S. House California District 12,Nancy Pelosi,Democratic,California,https://www.twitter.com/TeamPelosi,https://ballotpedia.org/Nancy_Pelosi,12
U.S. House California District 44,Nanette Barragán,Democratic,California,https://www.twitter.com/Nanette4CA,https://ballotpedia.org/Nanette_Barrag%C3%A1n,44
U.S. House California District 35,Norma Torres,Democratic,California,https://www.twitter.com/Norma4Congress,https://ballotpedia.org/Norma_Torres,35
U.S. House California District 31,Pete Aguilar,Democratic,California,https://www.twitter.com/aguilarpete,https://ballotpedia.org/Pete_Aguilar,31
U.S. House California District 36,Raul Ruiz,Democratic,California,https://www.twitter.com/Dr_RaulRuiz,https://ballotpedia.org/Raul_Ruiz,36
U.S. House California District 17,Ro Khanna,Democratic,California,https://www.twitter.com/RoKhanna,https://ballotpedia.org/Ro_Khanna,17
U.S. House California District 24,Salud Carbajal,Democratic,California,https://www.twitter.com/carbajalsalud,https://ballotpedia.org/Salud_Carbajal,24
U.S. House California District 52,Scott Peters,Democratic,California,https://www.twitter.com/ScottPetersCA52,https://ballotpedia.org/Scott_Peters,52
"Candidate, U.S. House California District 21",TJ Cox,Democratic,California,https://www.twitter.com/TJCoxCongress,https://ballotpedia.org/TJ_Cox,21
"Candidate, U.S. House California District 23",Tatiana Matta,Democratic,California,https://www.twitter.com/Matta4Congress,https://ballotpedia.org/Tatiana_Matta,23
U.S. House California District 33,Ted Lieu,Democratic,California,https://www.twitter.com/tedlieu,https://ballotpedia.org/Ted_Lieu,33
U.S. House California District 29,Tony Cardenas,Democratic,California,https://www.twitter.com/CardenasforCA,https://ballotpedia.org/Tony_Cardenas,29
U.S. House California District 19,Zoe Lofgren,Democratic,California,https://www.twitter.com/ZoeLofgren,https://ballotpedia.org/Zoe_Lofgren,19
"Candidate, U.S. House California District 41",Aja Smith,Republican,California,https://www.twitter.com/AjaforCongress,https://ballotpedia.org/Aja_Smith,41
"Candidate, U.S. House California District 7",Andrew Grant,Republican,California,https://www.twitter.com/andrewfgrant,https://ballotpedia.org/Andrew_Grant,7
"Candidate, U.S. House California District 26",Antonio Sabato Jr.,Republican,California,https://www.twitter.com/VoteAntonio2018,https://ballotpedia.org/Antonio_Sabato_Jr.,26
"Candidate, U.S. House California District 29",Benito Bernal,Republican,California,https://www.twitter.com/BB4congress2018,https://ballotpedia.org/Benito_Bernal,29
"Candidate, U.S. House California District 3",Charlie Schaupp,Republican,California,https://www.twitter.com/CharlieSchaupp,https://ballotpedia.org/Charlie_Schaupp,3
"Candidate, U.S. House California District 35",Christian Valiente,Republican,California,https://www.twitter.com/CLVALIENTE4,https://ballotpedia.org/Christian_Valiente,35
U.S. House California District 48,Dana Rohrabacher,Republican,California,https://www.twitter.com/danarohrabacher,https://ballotpedia.org/Dana_Rohrabacher,48
U.S. House California District 21,David Valadao,Republican,California,https://www.twitter.com/dgvaladao,https://ballotpedia.org/David_Valadao,21
U.S. House California District 22,Devin Nunes,Republican,California,https://www.twitter.com/DevinNunes,https://ballotpedia.org/Devin_Nunes,22
"Candidate, U.S. House California District 49",Diane Harkey,Republican,California,https://www.twitter.com/diane_harkey,https://ballotpedia.org/Diane_Harkey,49
U.S. House California District 1,Doug LaMalfa,Republican,California,https://www.twitter.com/douglamalfa,https://ballotpedia.org/Doug_LaMalfa,1
"Candidate, U.S. House California District 16",Elizabeth Heng,Republican,California,https://www.twitter.com/ElizabethHeng,https://ballotpedia.org/Elizabeth_Heng,16
U.S. House California District 10,Jeff Denham,Republican,California,https://www.twitter.com/JeffDenham,https://ballotpedia.org/Jeff_Denham,10
"Candidate, U.S. House California District 47",John Briscoe,Republican,California,https://www.twitter.com/johnfbriscoe,https://ballotpedia.org/John_Briscoe,47
"Candidate, U.S. House California District 11",John Fitzgerald,Republican,California,https://www.twitter.com/jfitz4congress,https://ballotpedia.org/John_Fitzgerald_(California),11
"Candidate, U.S. House California District 28",Johnny Nalbandian,Republican,California,https://www.twitter.com/Johnny_Congress,https://ballotpedia.org/Johnny_Nalbandian,28
"Candidate, U.S. House California District 51",Juan Hidalgo Jr.,Republican,California,https://www.twitter.com/HidalgoFor51st,https://ballotpedia.org/Juan_Hidalgo_Jr.,51
"Candidate, U.S. House California District 24",Justin Fareed,Republican,California,https://www.twitter.com/JustinFareed,https://ballotpedia.org/Justin_Fareed,24
U.S. House California District 42,Ken Calvert,Republican,California,https://www.twitter.com/TeamCalvert,https://ballotpedia.org/Ken_Calvert,42
"Candidate, U.S. House California District 33",Kenneth Wright,Republican,California,https://www.twitter.com/drwright4congr1,https://ballotpedia.org/Kenneth_Wright,33
U.S. House California District 23,Kevin McCarthy,Republican,California,https://www.twitter.com/kevinomccarthy,https://ballotpedia.org/Kevin_McCarthy_(California),23
"Candidate, U.S. House California District 36",Kimberlin Brown Pelzer,Republican,California,https://www.twitter.com/KimberlinBrown,https://ballotpedia.org/Kimberlin_Brown_Pelzer,36
"Candidate, U.S. House California District 12",Lisa Remmer,Republican,California,https://www.twitter.com/1776NotInVain,https://ballotpedia.org/Lisa_Remmer,12
"Candidate, U.S. House California District 30",Mark Reed,Republican,California,https://www.twitter.com/Markreed2014,https://ballotpedia.org/Mark_Reed_(California),30
"Candidate, U.S. House California District 9",Marla Livengood,Republican,California,https://www.twitter.com/marlalivengood,https://ballotpedia.org/Marla_Livengood,9
U.S. House California District 45,Mimi Walters,Republican,California,https://www.twitter.com/MimiWaltersCA,https://ballotpedia.org/Mimi_Walters,45
"Candidate, U.S. House California District 53",Morgan Murtaugh,Republican,California,https://www.twitter.com/morganmurtaugh,https://ballotpedia.org/Morgan_Murtaugh,53
"Candidate, U.S. House California District 43",Omar Navarro,Republican,California,https://www.twitter.com/RealOmarNavarro,https://ballotpedia.org/Omar_Navarro,43
U.S. House California District 8,Paul Cook,Republican,California,https://www.twitter.com/joinpaulcook,https://ballotpedia.org/Paul_Cook_(California),8
"Candidate, U.S. House California District 37",Ron Bassilian,Republican,California,https://www.twitter.com/ron4california,https://ballotpedia.org/Ron_Bassilian,37
"Candidate, U.S. House California District 17",Ron Cohen,Republican,California,https://www.twitter.com/RonCohenUS17,https://ballotpedia.org/Ron_Cohen_(California),17
"Candidate, U.S. House California District 15",Rudy Peters,Republican,California,https://www.twitter.com/PetersCongress,https://ballotpedia.org/Rudy_Peters,15
"Candidate, U.S. House California District 38",Ryan Downing,Republican,California,https://www.twitter.com/RyanDowning2018,https://ballotpedia.org/Ryan_Downing,38
"Candidate, U.S. House California District 31",Sean Flynn,Republican,California,https://www.twitter.com/seanflynnca,https://ballotpedia.org/Sean_Flynn,31
U.S. House California District 25,Stephen Knight,Republican,California,https://www.twitter.com/Knight4Congress,https://ballotpedia.org/Stephen_Knight,25
"Candidate, U.S. House California District 8",Tim Donnelly,Republican,California,https://www.twitter.com/PatriotNotPol,"https://ballotpedia.org/Tim_Donnelly_(U.S._House_candidate,_California)",8
U.S. House California District 4,Tom McClintock,Republican,California,https://www.twitter.com/tommcclintock,https://ballotpedia.org/Tom_McClintock,4
"Candidate, U.S. House California District 39",Young Kim,Republican,California,https://www.twitter.com/YoungKimCD39,https://ballotpedia.org/Young_Kim_(California),39
U.S. House Colorado District 1,Diana DeGette,Democratic,Colorado,https://www.twitter.com/DeGette5280,https://ballotpedia.org/Diana_DeGette,1
"Candidate, U.S. House Colorado District 3",Diane Mitsch Bush,Democratic,Colorado,https://www.twitter.com/RepDMB,https://ballotpedia.org/Diane_Mitsch_Bush,3
U.S. House Colorado District 7,Ed Perlmutter,Democratic,Colorado,https://www.twitter.com/Ed4Colorado,https://ballotpedia.org/Ed_Perlmutter,7
"Candidate, U.S. House Colorado District 6",Jason Crow,Democratic,Colorado,https://www.twitter.com/JasonCrowCO6,https://ballotpedia.org/Jason_Crow,6
"Candidate, U.S. House Colorado District 2",Joe Neguse,Democratic,Colorado,https://www.twitter.com/JoeNeguse,https://ballotpedia.org/Joe_Neguse,2
"Candidate, U.S. House Colorado District 4",Karen McCormick,Democratic,Colorado,https://www.twitter.com/McCormickForCO,https://ballotpedia.org/Karen_McCormick,4
"Candidate, U.S. House Colorado District 5",Stephany Rose Spaulding,Democratic,Colorado,https://www.twitter.com/StephanyForCO,https://ballotpedia.org/Stephany_Rose_Spaulding,5
"Candidate, U.S. House Colorado District 1",Casper Stockham,Republican,Colorado,https://www.twitter.com/Casper4Colorado,https://ballotpedia.org/Casper_Stockham,1
U.S. House Colorado District 5,Doug Lamborn,Republican,Colorado,https://www.twitter.com/RepDLamborn,https://ballotpedia.org/Doug_Lamborn,5
U.S. House Colorado District 4,Ken Buck,Republican,Colorado,https://www.twitter.com/BuckForColorado,https://ballotpedia.org/Ken_Buck,4
U.S. House Colorado District 6,Mike Coffman,Republican,Colorado,https://www.twitter.com/coffmanforco,https://ballotpedia.org/Mike_Coffman_(Colorado),6
"Candidate, U.S. House Colorado District 2",Peter Yu,Republican,Colorado,https://www.twitter.com/PeterYuCO,https://ballotpedia.org/Peter_Yu,2
U.S. House Colorado District 3,Scott Tipton,Republican,Colorado,https://www.twitter.com/scottrtipton,https://ballotpedia.org/Scott_Tipton,3
"Candidate, U.S. House Connecticut District 5",Jahana Hayes,Democratic,Connecticut,https://www.twitter.com/JahanaHayesCT,https://ballotpedia.org/Jahana_Hayes,5
U.S. House Connecticut District 4,Jim Himes,Democratic,Connecticut,https://www.twitter.com/jahimes,https://ballotpedia.org/Jim_Himes,4
U.S. House Connecticut District 2,Joe Courtney,Democratic,Connecticut,https://www.twitter.com/joecourtneyct,https://ballotpedia.org/Joe_Courtney,2
U.S. House Connecticut District 1,John Larson,Democratic,Connecticut,https://www.twitter.com/JohnLarsonCT,https://ballotpedia.org/John_Larson,1
U.S. House Connecticut District 3,Rosa DeLauro,Democratic,Connecticut,https://www.twitter.com/Rosa_DeLauro,https://ballotpedia.org/Rosa_DeLauro,3
"Candidate, U.S. House Connecticut District 3",Angel Cadena,Republican,Connecticut,https://www.twitter.com/hiro4you2,https://ballotpedia.org/Angel_Cadena,3
"Candidate, U.S. House Connecticut District 4",Harry Arora,Republican,Connecticut,https://www.twitter.com/harryforct,https://ballotpedia.org/Harry_Arora,4
"Candidate, U.S. House Connecticut District 5",Manny Santos,Republican,Connecticut,https://www.twitter.com/santos4congress,https://ballotpedia.org/Manny_Santos,5
U.S. House Delaware At-large District,Lisa Blunt Rochester,Democratic,Delaware,https://www.twitter.com/LisaBRochester,https://ballotpedia.org/Lisa_Blunt_Rochester,0
U.S. House Florida District 20,Alcee Hastings,Democratic,Florida,https://www.twitter.com/alcee4congress,https://ballotpedia.org/Alcee_Hastings,20
U.S. House Florida District 5,Alfred Lawson,Democratic,Florida,https://www.twitter.com/allawsonjr,https://ballotpedia.org/Alfred_Lawson,5
"Candidate, U.S. House Florida District 2",Bob Rackleff,Democratic,Florida,https://www.twitter.com/bobrackleff,https://ballotpedia.org/Bob_Rackleff,2
U.S. House Florida District 13,Charlie Crist,Democratic,Florida,https://www.twitter.com/CharlieCrist,https://ballotpedia.org/Charlie_Crist,13
"Candidate, U.S. House Florida District 12",Chris Hunter,Democratic,Florida,https://www.twitter.com/ChrisHunterFL,https://ballotpedia.org/Chris_Hunter_(Florida),12
"Candidate, U.S. House Florida District 11",Dana Cottrell,Democratic,Florida,https://www.twitter.com/DanaforCongress,https://ballotpedia.org/Dana_Cottrell,11
U.S. House Florida District 9,Darren Soto,Democratic,Florida,https://www.twitter.com/DarrenSoto,https://ballotpedia.org/Darren_Soto,9
"Candidate, U.S. House Florida District 19",David Holden,Democratic,Florida,https://www.twitter.com/holden2018,https://ballotpedia.org/David_Holden,19
"Candidate, U.S. House Florida District 16",David Shapiro,Democratic,Florida,https://www.twitter.com/Shapiro4FL16,https://ballotpedia.org/David_Shapiro,16
"Candidate, U.S. House Florida District 26",Debbie Mucarsel-Powell,Democratic,Florida,https://www.twitter.com/debbieforfl,https://ballotpedia.org/Debbie_Mucarsel-Powell,26
U.S. House Florida District 23,Debbie Wasserman Schultz,Democratic,Florida,https://www.twitter.com/DWStweets,https://ballotpedia.org/Debbie_Wasserman_Schultz,23
"Candidate, U.S. House Florida District 27",Donna Shalala,Democratic,Florida,https://www.twitter.com/DonnaShalala,https://ballotpedia.org/Donna_Shalala,27
"Candidate, U.S. House Florida District 4",Ges Selmont,Democratic,Florida,https://www.twitter.com/vote4ges,https://ballotpedia.org/Ges_Selmont,4
"Candidate, U.S. House Florida District 1",Jennifer Zimmerman,Democratic,Florida,https://www.twitter.com/DrZ4Congress,https://ballotpedia.org/Jennifer_Zimmerman,1
U.S. House Florida District 14,Kathy Castor,Democratic,Florida,https://www.twitter.com/KathyCastorFL,https://ballotpedia.org/Kathy_Castor,14
"Candidate, U.S. House Florida District 15",Kristen Carlson,Democratic,Florida,https://www.twitter.com/KristenForFL,https://ballotpedia.org/Kristen_Carlson,15
"Candidate, U.S. House Florida District 18",Lauren Baer,Democratic,Florida,https://www.twitter.com/laurenbaer,https://ballotpedia.org/Lauren_Baer,18
U.S. House Florida District 21,Lois Frankel,Democratic,Florida,https://www.twitter.com/LoisFrankel,https://ballotpedia.org/Lois_Frankel,21
"Candidate, U.S. House Florida District 25",Mary Barzee Flores,Democratic,Florida,https://www.twitter.com/MBFforCongress,https://ballotpedia.org/Mary_Barzee_Flores,25
"Candidate, U.S. House Florida District 6",Nancy Soderberg,Democratic,Florida,https://www.twitter.com/nancysoderberg,https://ballotpedia.org/Nancy_Soderberg,6
"Candidate, U.S. House Florida District 8",Sanjay Patel,Democratic,Florida,https://www.twitter.com/votesanjaypatel,https://ballotpedia.org/Sanjay_Patel_(Florida),8
U.S. House Florida District 7,Stephanie Murphy,Democratic,Florida,https://www.twitter.com/SMurphyCongress,https://ballotpedia.org/Stephanie_Murphy,7
U.S. House Florida District 22,Ted Deutch,Democratic,Florida,https://www.twitter.com/TedDeutch,https://ballotpedia.org/Ted_Deutch,22
U.S. House Florida District 10,Val Demings,Democratic,Florida,https://www.twitter.com/val_demings,https://ballotpedia.org/Val_Demings,10
"Candidate, U.S. House Florida District 3",Yvonne Hayes Hinson,Democratic,Florida,https://www.twitter.com/YvonneHinsonFL,https://ballotpedia.org/Yvonne_Hayes_Hinson,3
U.S. House Florida District 18,Brian Mast,Republican,Florida,https://www.twitter.com/BrianMastFL,https://ballotpedia.org/Brian_Mast,18
U.S. House Florida District 26,Carlos Curbelo,Republican,Florida,https://www.twitter.com/carloslcurbelo,https://ballotpedia.org/Carlos_Curbelo,26
U.S. House Florida District 11,Daniel Webster,Republican,Florida,https://www.twitter.com/WebsterCongress,https://ballotpedia.org/Daniel_Webster_(Florida),11
U.S. House Florida District 19,Francis Rooney,Republican,Florida,https://www.twitter.com/FrancisRooney,https://ballotpedia.org/Francis_Rooney,19
"Candidate, U.S. House Florida District 13",George Buck,Republican,Florida,https://www.twitter.com/gbuck_jr,https://ballotpedia.org/George_Buck,13
"Candidate, U.S. House Florida District 17",Greg Steube,Republican,Florida,https://www.twitter.com/gregsteube,https://ballotpedia.org/Greg_Steube,17
"Candidate, U.S. House Florida District 23",Joe Kaufman,Republican,Florida,https://www.twitter.com/JoeKaufmanUSA,https://ballotpedia.org/Joe_Kaufman,23
U.S. House Florida District 4,John Rutherford,Republican,Florida,https://www.twitter.com/JRutherfordFL,https://ballotpedia.org/John_Rutherford,4
"Candidate, U.S. House Florida District 27",Maria Elvira Salazar,Republican,Florida,https://www.twitter.com/MaElviraSalazar,https://ballotpedia.org/Maria_Elvira_Salazar,27
U.S. House Florida District 25,Mario Diaz-Balart,Republican,Florida,https://www.twitter.com/MarioDBCamp,https://ballotpedia.org/Mario_Diaz-Balart,25
U.S. House Florida District 1,Matt Gaetz,Republican,Florida,https://www.twitter.com/mattgaetz,https://ballotpedia.org/Matt_Gaetz,1
"Candidate, U.S. House Florida District 6",Michael Waltz,Republican,Florida,https://www.twitter.com/michaelgwaltz,https://ballotpedia.org/Michael_Waltz,6
"Candidate, U.S. House Florida District 7",Mike Miller,Republican,Florida,https://www.twitter.com/Mike_Miller_FL,https://ballotpedia.org/Mike_Miller_(Florida),7
U.S. House Florida District 2,Neal Dunn,Republican,Florida,https://www.twitter.com/dunncampaign,https://ballotpedia.org/Neal_Dunn,2
"Candidate, U.S. House Florida District 22",Nicolas Kimaz,Republican,Florida,https://www.twitter.com/NicolasKimazFL,https://ballotpedia.org/Nicolas_Kimaz,22
"Candidate, U.S. House Florida District 15",Ross Spano,Republican,Florida,https://www.twitter.com/RossSpano,https://ballotpedia.org/Ross_Spano,15
U.S. House Florida District 3,Ted Yoho,Republican,Florida,https://www.twitter.com/TedYoho,https://ballotpedia.org/Ted_Yoho,3
U.S. House Florida District 16,Vern Buchanan,Republican,Florida,https://www.twitter.com/vern2014,https://ballotpedia.org/Vern_Buchanan,16
"Candidate, U.S. House Florida District 5",Virginia Fuller,Republican,Florida,https://www.twitter.com/Florida_CD5,https://ballotpedia.org/Virginia_Fuller,5
"Candidate, U.S. House Georgia District 7",Carolyn Bourdeaux,Democratic,Georgia,https://www.twitter.com/Carolyn4GA7,https://ballotpedia.org/Carolyn_Bourdeaux,7
"Candidate, U.S. House Georgia District 3",Chuck Enderlin,Democratic,Georgia,https://www.twitter.com/Vote_Chuck,https://ballotpedia.org/Chuck_Enderlin,3
U.S. House Georgia District 13,David Scott,Democratic,Georgia,https://www.twitter.com/electdavidscott,https://ballotpedia.org/David_Scott_(Georgia),13
